知りたい分類,定義,出す場所,品目,出し方詳細,備考
燃やせる,,ゴミステーション（市が回収）,生ごみ（野菜くず、生花、茶がら、貝がらなど）,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,乾燥剤,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,保冷剤,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,アルミはく,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,アルミのうどん鍋,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１２時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,食用油,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１３時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",紙・布などにしみこませる
燃やせる,,ゴミステーション（市が回収）,古着,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１４時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,くつ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１５時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,かばん,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１６時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,革製品,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１７時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙くず,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙パック,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙コップ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,ぬいぐるみ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,ボール,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２２時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,使い捨てカイロ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２３時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,玄関マット,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２４時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,クッション,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２５時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,カーテン,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２６時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,薄手のふとん,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２７時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙おむつ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",汚物はトイレへ
燃やせる,,ゴミステーション（市が回収）,犬・猫等のフン,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",小袋（1kg以内）に少量ずつ入れる
燃やせる,,ゴミステーション（市が回収）,使用した花火,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝３０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",十分に湿らせる、未使用の花火は環境クリーンセンターへ
燃やせる,,ゴミステーション（市が回収）,50cm以内に切った葉のついていない枝,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝３１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",(ひもで束ねれば袋に入れなくてOK
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,陶磁器（茶碗、皿、鉢など）,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝８時までに決められたごみステーションへ","ここがポイント
袋に入る大きさにする
※大きいものは切ったり、こわしたりして
推奨袋に入れてください（家電はこわしても収集しません）※傘以外のものは、袋から出ている場合、
収集しません"
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,ガラス製品,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝９時までに決められたごみステーションへ",板ガラス、鏡など。布にくるむなど、安全な形にしてから出してください
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,大きい缶(500mlより大きい缶）,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１０時までに決められたごみステーションへ",
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,ガラス食器,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１１時までに決められたごみステーションへ",割れた食器は新聞等にくるんでください
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,アルミ・ステンレス製のなべ・やかん,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１２時までに決められたごみステーションへ",ホーローや鉄等厚手のなべ（圧力なべ等）、フライパンは『破砕困難ごみ・危険ごみ』
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,傘,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１３時までに決められたごみステーションへ",傘だけは袋からはみ出ていてもＯＫ
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,白熱球、ＬＥＤ,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１４時までに決められたごみステーションへ",
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,スキー靴、スパイクシューズなど,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１５時までに決められたごみステーションへ",
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,小型の家電(充電式でないもの),"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１５時までに決められたごみステーションへ",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が50㎝以下のもの",ゴミステーション（市が回収）,ビーチサンダル,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、50cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が51㎝以下のもの",ゴミステーション（市が回収）,お風呂のスリッパ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、51cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が52㎝以下のもの",ゴミステーション（市が回収）,ビニールプール,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、52cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が53㎝以下のもの",ゴミステーション（市が回収）,クリーニングの外袋,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、53cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が54㎝以下のもの",ゴミステーション（市が回収）,ビニール風呂敷,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、54cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が55㎝以下のもの",ゴミステーション（市が回収）,PP バンド,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、55cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が56㎝以下のもの",ゴミステーション（市が回収）,荷造りひも,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、56cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が57㎝以下のもの",ゴミステーション（市が回収）,ラップ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、57cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が58㎝以下のもの",ゴミステーション（市が回収）,ビニールシート,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、58cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が59㎝以下のもの",ゴミステーション（市が回収）,ストロー,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、59cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が60㎝以下のもの",ゴミステーション（市が回収）,クリアファイル,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、60cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が61㎝以下のもの",ゴミステーション（市が回収）,ジョイントマット,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、61cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が62㎝以下のもの",ゴミステーション（市が回収）,ビニール袋,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、62cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が63㎝以下のもの",ゴミステーション（市が回収）,バラン,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、63cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が64㎝以下のもの",ゴミステーション（市が回収）,桶,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、64cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が65㎝以下のもの",ゴミステーション（市が回収）,洗面器,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、65cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が66㎝以下のもの",ゴミステーション（市が回収）,CD・DVD,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、66cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が67㎝以下のもの",ゴミステーション（市が回収）,ブルーレイディスク,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、67cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が68㎝以下のもの",ゴミステーション（市が回収）,歯ブラシ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、68cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が69㎝以下のもの",ゴミステーション（市が回収）,ハンガー,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、69cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
