知りたい分類,定義,出す場所,品目,出し方詳細,備考
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が101㎝以下のもの",ゴミステーション（市が回収）,ビニールシート,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、101cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。","（50㎝以下に切る）※折り曲げるだけではNG
金属部分は切りとる ※切りとった部分は「燃やせないごみ」"
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が102㎝以下のもの",ゴミステーション（市が回収）,ホース,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、102cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(びん・缶類),・びん、缶類,ゴミステーション（市が回収）,飲料用のびん（ビールびん、一升びん、ドリンク剤のびん）,"1：空びん・缶はふたや栓を取り軽く水洗いする
　　はずしたふたや栓は素材によって捨て方が異なります
　　例）コルクの栓『燃やせるごみ』
　　　　金属製のふた『燃やせないごみ』
　　　　プラスチック製のふた『プラスチック資源』
２：朝８時までに決められたごみステーションの青色コンテナへ
　　・缶にタバコなどの異物を入れないで！
　　・びん、缶を入れてきた袋は持ち帰って！
　　・びん、缶を同じコンテナに入れないで！

※不透明な化粧品のびん、割れたびん、耐熱ガラス容器やガラスの食器、灯油缶などの大きな缶は、「びん・缶類」には出せません
",のりづけされたラベルは剥がさなくてＯＫ
資源(びん・缶類),・びん、缶類,ゴミステーション（市が回収）,食品用のびん（調味料のびん、のり・ジャム・コーヒーのびんなど）,"1：空びん・缶はふたや栓を取り軽く水洗いする
　　はずしたふたや栓は素材によって捨て方が異なります
　　例）コルクの栓『燃やせるごみ』
　　　　金属製のふた『燃やせないごみ』
　　　　プラスチック製のふた『プラスチック資源』
２：朝９時までに決められたごみステーションの青色コンテナへ
　　・缶にタバコなどの異物を入れないで！
　　・びん、缶を入れてきた袋は持ち帰って！
　　・びん、缶を同じコンテナに入れないで！

※不透明な化粧品のびん、割れたびん、耐熱ガラス容器やガラスの食器、灯油缶などの大きな缶は、「びん・缶類」には出せません
",割れたびんは出せません『燃やせないごみ』
資源(びん・缶類),・びん、缶類,ゴミステーション（市が回収）,透明な化粧品のびん（透明なびん、または色つきであっても口の部分が透明なびん）,"1：空びん・缶はふたや栓を取り軽く水洗いする
　　はずしたふたや栓は素材によって捨て方が異なります
　　例）コルクの栓『燃やせるごみ』
　　　　金属製のふた『燃やせないごみ』
　　　　プラスチック製のふた『プラスチック資源』
２：朝１０時までに決められたごみステーションの青色コンテナへ
　　・缶にタバコなどの異物を入れないで！
　　・びん、缶を入れてきた袋は持ち帰って！
　　・びん、缶を同じコンテナに入れないで！

※不透明な化粧品のびん、割れたびん、耐熱ガラス容器やガラスの食器、灯油缶などの大きな缶は、「びん・缶類」には出せません
",不透明なびんは出せません『燃やせないごみ』
資源(びん・缶類),・びん、缶類,ゴミステーション（市が回収）,飲料用の缶（ジュース缶、ビール缶など）,"1：空びん・缶はふたや栓を取り軽く水洗いする
　　はずしたふたや栓は素材によって捨て方が異なります
　　例）コルクの栓『燃やせるごみ』
　　　　金属製のふた『燃やせないごみ』
　　　　プラスチック製のふた『プラスチック資源』
２：朝１１時までに決められたごみステーションの青色コンテナへ
　　・缶にタバコなどの異物を入れないで！
　　・びん、缶を入れてきた袋は持ち帰って！
　　・びん、缶を同じコンテナに入れないで！

※不透明な化粧品のびん、割れたびん、耐熱ガラス容器やガラスの食器、灯油缶などの大きな缶は、「びん・缶類」には出せません
","・つぶさないで入れてください
・大きな缶（499mlより大きい缶）は出せません『燃やせないごみ』 
・スプレー缶は出せません『破砕困難ごみ・危険ごみ』"
資源(びん・缶類),・びん、缶類,ゴミステーション（市が回収）,食品用の缶（缶詰・お茶・のり・食用油・お菓子などの小さな缶）,"1：空びん・缶はふたや栓を取り軽く水洗いする
　　はずしたふたや栓は素材によって捨て方が異なります
　　例）コルクの栓『燃やせるごみ』
　　　　金属製のふた『燃やせないごみ』
　　　　プラスチック製のふた『プラスチック資源』
２：朝１２時までに決められたごみステーションの青色コンテナへ
　　・缶にタバコなどの異物を入れないで！
　　・びん、缶を入れてきた袋は持ち帰って！
　　・びん、缶を同じコンテナに入れないで！

※不透明な化粧品のびん、割れたびん、耐熱ガラス容器やガラスの食器、灯油缶などの大きな缶は、「びん・缶類」には出せません。中身が残っているものは出せません
","・つぶさないで入れてください
・大きな缶（500mlより大きい缶）は出せません『燃やせないごみ』 
・スプレー缶は出せません『破砕困難ごみ・危険ごみ』"
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,"ホーローなべ
","1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝８時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,中華なべ,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝９時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,フライパン,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１０時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,アイロン,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１１時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,家庭用工具類(ペンチ、レンチ、トンカチ等),"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１２時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,電気（電飾）コード,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１３時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)",ゴミステーション（市が回収）,家電のコード,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１４時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が20cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,針金ハンガー,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１５時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",クリーニング店へ返却することもできます
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が21cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,簡易ガスボンベ、スプレー缶、ライターなど,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１６時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい","・穴あけは不要です
・中身を使い切ってください
・持ち込む場合は直接リサイクルプラザまたはエコらんどへ"
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が22cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,燃料・薬品・化粧品の缶、ガスライターなど,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１７時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい","・穴あけは不要です
・中身を使い切ってください
・持ち込む場合は直接リサイクルプラザまたはエコらんどへ"
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が23cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,水銀体温計,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１８時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",・ケースに入れたままで出してください
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が24cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,包丁、カミソリの刃など,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝１９時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",刃先を新聞紙等にくるむなど、安全な形で出してください（できればリサイクルプラザかエコらんどへ持ち込んでください）
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が25cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,乾電池（マンガン電池、アルカリ電池、オキシライド電池）,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝２０時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",乾電池は、市の施設、小・中学校、町内会事務所、リサイクルステーションの回収ボックスでも回収しています
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が26cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,ボタン電池,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝２１時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が27cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,コイン型電池,"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝２２時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が28cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,"小型充電式電池（リチウムイオン電池、ニカド電池、
ニッケル水素電池）","1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝２３時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい",
資源(粉砕困難・危険ごみ),"・かたい鉄製のもの(破砕機の刃が壊れるため)
・長い金属製のもの(破砕機に巻きつくため)
・ガス缶、電池、刃物、水銀体温計等
・充電式小型家電(1辺が29cm以下の大きさで、充電式で簡単
に電池が取り出せないもの)",ゴミステーション（市が回収）,充電式小型家電(ワイヤレスイヤホン、電動歯ブラシ等),"1：スプレー缶やガスボンベは穴あけ不要です。ふたをはずして、中身は使い切ってください
・屋外で近くに火気の無いことを確認してください
・各スプレー缶の記載事項をよく読んでからおこなってください
・ガス抜きキャップ等が装着されている場合は使用してください
例）金属製のふた『燃やせないごみ』
　　プラスチック製のふた『プラスチック資源』
2：朝２４時までに決められたごみステーションの黄色コンテナへコンテナからはみ出る場合は直接リサイクルプラザへ持ち込んでください

※破砕困難ごみや危険ごみを入れてきた袋は持ち帰って下さい","1辺が20cm以下の大きさで、充電式で簡単
に電池が取り出せないもの"
資源ごみ(古紙・古着),"・新聞、折込チラシ、雑誌
・ダンボール
・雑がみ（雑がみとは、新聞・雑誌・ダンボール・牛乳パック以外の、リサイクルできる紙のことです）
・シュレッダー処理紙
・古着",ゴミステーション（市が回収）,新聞・折込チラシ,"【新聞、雑誌、段ボール】
1：品目（紙の種類）ごとに重ねて、ひも（できれば紙ひも）で十字にしばる
2：朝８時までに決められたごみステーションへ

【雑がみ】
1：紙袋に入れるか、包装紙などの大きな紙で包むなどして中身が出ない
ようにひもでしばるかテープやホチキスなどで止める
2：朝８時までに決められたごみステーションへ

【牛乳パック】
1：中を洗って乾燥させ切り開く
2：ひも（できれば紙ひも）で十字にしばる
3：朝８時までに決められたごみステーションへ
※プラスチックの注ぎ口のついたものは、プラスチック部分を切り取ってください

【古着】
1：ビニール袋（透明または半透明）に入れ、口をしっかりとしばる
　　※市の指定袋や推奨袋は使わないでください
2：朝８時までに決められたごみステーションへ","新聞とチラシは
分けなくても
ＯＫ"
資源ごみ(古紙・古着),"・新聞、折込チラシ、雑誌
・ダンボール
・雑がみ（雑がみとは、新聞・雑誌・ダンボール・牛乳パック以外の、リサイクルできる紙のことです）
・シュレッダー処理紙
・古着",ゴミステーション（市が回収）,雑誌,"【新聞、雑誌、段ボール】
1：品目（紙の種類）ごとに重ねて、ひも（できれば紙ひも）で十字にしばる
2：朝８時までに決められたごみステーションへ

【雑がみ】
1：紙袋に入れるか、包装紙などの大きな紙で包むなどして中身が出ない
ようにひもでしばるかテープやホチキスなどで止める
2：朝８時までに決められたごみステーションへ

【牛乳パック】
1：中を洗って乾燥させ切り開く
2：ひも（できれば紙ひも）で十字にしばる
3：朝８時までに決められたごみステーションへ
※プラスチックの注ぎ口のついたものは、プラスチック部分を切り取ってください

【古着】
1：ビニール袋（透明または半透明）に入れ、口をしっかりとしばる
　　※市の指定袋や推奨袋は使わないでください
2：朝９時までに決められたごみステーションへ","・付録のCDやDVDなどは取り除く『プラスチック資源』
・表紙が革やビニールのものは表紙を取り除く『燃やせるごみ』"
資源ごみ(古紙・古着),"・新聞、折込チラシ、雑誌
・ダンボール
・雑がみ（雑がみとは、新聞・雑誌・ダンボール・牛乳パック以外の、リサイクルできる紙のことです）
・シュレッダー処理紙
・古着",ゴミステーション（市が回収）,本,"【新聞、雑誌、段ボール】
1：品目（紙の種類）ごとに重ねて、ひも（できれば紙ひも）で十字にしばる
2：朝８時までに決められたごみステーションへ

【雑がみ】
1：紙袋に入れるか、包装紙などの大きな紙で包むなどして中身が出ない
ようにひもでしばるかテープやホチキスなどで止める
2：朝８時までに決められたごみステーションへ

【牛乳パック】
1：中を洗って乾燥させ切り開く
2：ひも（できれば紙ひも）で十字にしばる
3：朝８時までに決められたごみステーションへ
※プラスチックの注ぎ口のついたものは、プラスチック部分を切り取ってください

【古着】
1：ビニール袋（透明または半透明）に入れ、口をしっかりとしばる
　　※市の指定袋や推奨袋は使わないでください
2：朝１０時までに決められたごみステーションへ","・付録のCDやDVDなどは取り除く『プラスチック資源』
・表紙が革やビニールのものは表紙を取り除く『燃やせるごみ』"
資源ごみ(古紙・古着),"・新聞、折込チラシ、雑誌
・ダンボール
・雑がみ（雑がみとは、新聞・雑誌・ダンボール・牛乳パック以外の、リサイクルできる紙のことです）
・シュレッダー処理紙
・古着",ゴミステーション（市が回収）,教科書,"【新聞、雑誌、段ボール】
1：品目（紙の種類）ごとに重ねて、ひも（できれば紙ひも）で十字にしばる
2：朝８時までに決められたごみステーションへ

【雑がみ】
1：紙袋に入れるか、包装紙などの大きな紙で包むなどして中身が出ない
ようにひもでしばるかテープやホチキスなどで止める
2：朝８時までに決められたごみステーションへ

【牛乳パック】
1：中を洗って乾燥させ切り開く
2：ひも（できれば紙ひも）で十字にしばる
3：朝８時までに決められたごみステーションへ
※プラスチックの注ぎ口のついたものは、プラスチック部分を切り取ってください

【古着】
1：ビニール袋（透明または半透明）に入れ、口をしっかりとしばる
　　※市の指定袋や推奨袋は使わないでください
2：朝１１時までに決められたごみステーションへ","・付録のCDやDVDなどは取り除く『プラスチック資源』
・表紙が革やビニールのものは表紙を取り除く『燃やせるごみ』"
資源ごみ(古紙・古着),"・新聞、折込チラシ、雑誌
・ダンボール
・雑がみ（雑がみとは、新聞・雑誌・ダンボール・牛乳パック以外の、リサイクルできる紙のことです）
・シュレッダー処理紙
・古着",ゴミステーション（市が回収）,辞書,"【新聞、雑誌、段ボール】
1：品目（紙の種類）ごとに重ねて、ひも（できれば紙ひも）で十字にしばる
2：朝８時までに決められたごみステーションへ

【雑がみ】
1：紙袋に入れるか、包装紙などの大きな紙で包むなどして中身が出ない
ようにひもでしばるかテープやホチキスなどで止める
2：朝８時までに決められたごみステーションへ

【牛乳パック】
1：中を洗って乾燥させ切り開く
2：ひも（できれば紙ひも）で十字にしばる
3：朝８時までに決められたごみステーションへ
※プラスチックの注ぎ口のついたものは、プラスチック部分を切り取ってください

【古着】
1：ビニール袋（透明または半透明）に入れ、口をしっかりとしばる
　　※市の指定袋や推奨袋は使わないでください
2：朝１２時までに決められたごみステーションへ","・付録のCDやDVDなどは取り除く『プラスチック資源』
・表紙が革やビニールのものは表紙を取り除く『燃やせるごみ』"
